name,skills,experience,domain,education,certifications,projects,contact info,predicted role
Candidate_470,"Bash Scripting, Docker, Terraform, Kubernetes, CI/CD, Azure, Ansible, AWS, GCP, Linux",0.0,DevOps & Cloud Computing,Master's in AI & ML,Microsoft Azure Fundamentals,AI-Powered IoT Security for Industrial Networks | Network Penetration Testing with Kali Linux,email@example.com,Edge Computing Specialist
Candidate_266,"Docker, CI/CD, Linux, Ansible, Bash Scripting, Kubernetes, GCP, Terraform, Azure, AWS",10.0,DevOps & Cloud Computing,Bachelor's in Electronics & Communication,CISSP (Certified Information Systems Security Professional),Cloud-Based IT Support Chatbot | Cyber-Physical System for Smart City Traffic Control,portfolio.example.com,IoT Systems Engineer
Candidate_799,"Ansible, Docker, CI/CD, Bash Scripting, GCP, Terraform, Linux, Kubernetes, Azure, AWS",0.0,DevOps & Cloud Computing,Master's in Data Science,CISSP (Certified Information Systems Security Professional),AI-Driven Cybersecurity Threat Analysis | Cloud-Based IT Support Chatbot,email@example.com,Quantum Security Engineer
Candidate_882,"Azure, Docker, Bash Scripting, GCP, Terraform, Ansible, AWS, Linux, CI/CD, Kubernetes",7.0,DevOps & Cloud Computing,Master's in Data Science,RHCSA (Red Hat Certified System Administrator),Cloud-Based IT Support Chatbot | Smart Traffic Management System using IoT,email@example.com,Edge Computing Specialist
Candidate_209,"GCP, Kubernetes, Docker, AWS, Linux, Terraform, Bash Scripting, Ansible, CI/CD, Azure",6.0,DevOps & Cloud Computing,Bachelor's in Computer Science,RHCSA (Red Hat Certified System Administrator),AI-Powered IoT Security for Industrial Networks | Cloud-Based IT Support Chatbot,linkedin.com/in/example,Edge Computing Specialist
Candidate_991,"GCP, Terraform, AWS, Docker, Ansible, Azure, Kubernetes, CI/CD, Bash Scripting, Linux",1.0,DevOps & Cloud Computing,Bachelor's in Information Technology,Microsoft Azure Fundamentals,Smart Traffic Management System using IoT | AI-Driven Cybersecurity Threat Analysis,github.com/example,Computer Vision Engineer
Candidate_831,"GCP, Azure, Terraform, Bash Scripting, Kubernetes, Ansible, CI/CD, Docker, AWS, Linux",10.0,DevOps & Cloud Computing,Master's in AI & ML,Cisco CCNA,Cyber-Physical System for Smart City Traffic Control | AI-Powered IoT Security for Industrial Networks,portfolio.example.com,Data Scientist
Candidate_458,"Ansible, CI/CD, Linux, Terraform, AWS, Kubernetes, GCP, Docker, Bash Scripting, Azure",1.0,DevOps & Cloud Computing,Master's in AI & ML,Edge Computing Specialist Certification,Cyber-Physical System for Smart City Traffic Control | Embedded Systems for Smart Home Automation,github.com/example,IoT Systems Engineer
Candidate_918,"Kubernetes, Azure, GCP, AWS, CI/CD, Terraform, Linux, Bash Scripting, Docker, Ansible",15.0,DevOps & Cloud Computing,Bachelor's in Information Technology,CISSP (Certified Information Systems Security Professional),Cloud-Based IT Support Chatbot | Cloud Security Threat Detection System,portfolio.example.com,DevOps Engineer
Candidate_339,"Kubernetes, Bash Scripting, Docker, GCP, Ansible, Azure, CI/CD, AWS, Linux, Terraform",0.0,DevOps & Cloud Computing,Bachelor's in Information Technology,Cisco CCNA,Cyber-Physical System for Smart City Traffic Control | Network Penetration Testing with Kali Linux,email@example.com,Cybersecurity Consultant
Candidate_977,"Linux, Terraform, CI/CD, Bash Scripting, Azure, AWS, Kubernetes, GCP, Docker, Ansible",15.0,DevOps & Cloud Computing,Master's in Cybersecurity,RHCSA (Red Hat Certified System Administrator),Smart Traffic Management System using IoT | AI-Driven Cybersecurity Threat Analysis,github.com/example,DevOps Engineer
Candidate_903,"Bash Scripting, Docker, GCP, Azure, Ansible, Kubernetes, Terraform, AWS, CI/CD, Linux",2.0,DevOps & Cloud Computing,Bachelor's in Information Technology,RHCSA (Red Hat Certified System Administrator),Cloud Security Threat Detection System | AI-Powered IoT Security for Industrial Networks,github.com/example,Cloud Security Specialist
Candidate_706,"Ansible, GCP, Linux, AWS, Kubernetes, Azure, Docker, Terraform, Bash Scripting, CI/CD",3.0,DevOps & Cloud Computing,Bachelor's in Electronics & Communication,CompTIA Security+,Fog Computing for Real-Time Video Processing | Smart Traffic Management System using IoT,email@example.com,Edge Computing Specialist
Candidate_838,"GCP, Terraform, Docker, Linux, Kubernetes, Ansible, Azure, AWS, CI/CD, Bash Scripting",3.0,DevOps & Cloud Computing,Bachelor's in Information Technology,RHCSA (Red Hat Certified System Administrator),Automated Infrastructure Deployment using Terraform | Embedded Systems for Smart Home Automation,email@example.com,Cybersecurity Consultant
Candidate_754,"GCP, Linux, Azure, Bash Scripting, Terraform, Docker, CI/CD, Kubernetes, AWS, Ansible",5.0,DevOps & Cloud Computing,Master's in Data Science,Microsoft Azure Fundamentals,Smart Traffic Management System using IoT | AI-Driven Cybersecurity Threat Analysis,github.com/example,Quantum Security Engineer
Candidate_184,"Terraform, Ansible, GCP, Bash Scripting, Linux, CI/CD, Kubernetes, Azure, AWS, Docker",0.0,DevOps & Cloud Computing,Bachelor's in Computer Science,CompTIA Security+,Fog Computing for Real-Time Video Processing | AI-Powered IoT Security for Industrial Networks,github.com/example,Cloud Security Specialist
Candidate_651,"Docker, Terraform, AWS, Azure, Ansible, Bash Scripting, Linux, CI/CD, GCP, Kubernetes",8.0,DevOps & Cloud Computing,Bachelor's in Electronics & Communication,Edge Computing Specialist Certification,Cyber-Physical System for Smart City Traffic Control | Automated Infrastructure Deployment using Terraform,linkedin.com/in/example,AI Ethics Consultant
Candidate_518,"Bash Scripting, Docker, AWS, Azure, Terraform, Kubernetes, Ansible, GCP, Linux, CI/CD",9.0,DevOps & Cloud Computing,Master's in AI & ML,IoT Security Certification,Cyber-Physical System for Smart City Traffic Control | Automated Infrastructure Deployment using Terraform,email@example.com,AI Ethics Consultant
Candidate_543,"Bash Scripting, AWS, GCP, Docker, Kubernetes, CI/CD, Linux, Terraform, Azure, Ansible",6.0,DevOps & Cloud Computing,Bachelor's in Electronics & Communication,IoT Security Certification,Cyber-Physical System for Smart City Traffic Control | Embedded Systems for Smart Home Automation,portfolio.example.com,IoT Systems Engineer
Candidate_481,"Bash Scripting, AWS, CI/CD, Azure, Kubernetes, GCP, Linux, Ansible, Terraform, Docker",6.0,DevOps & Cloud Computing,Master's in Data Science,CompTIA Security+,AI-Driven Cybersecurity Threat Analysis | Network Penetration Testing with Kali Linux,github.com/example,AI Ethics Consultant
Candidate_842,"Ansible, Bash Scripting, Linux, Azure, Terraform, CI/CD, AWS, GCP, Kubernetes, Docker",10.0,DevOps & Cloud Computing,Bachelor's in Information Technology,Certified Kubernetes Administrator,Automated Infrastructure Deployment using Terraform | Cloud-Based IT Support Chatbot,linkedin.com/in/example,Network Architect
Candidate_707,"Docker, Terraform, AWS, GCP, Linux, Bash Scripting, CI/CD, Ansible, Kubernetes, Azure",12.0,DevOps & Cloud Computing,Master's in Cybersecurity,Edge Computing Specialist Certification,AI-Powered IoT Security for Industrial Networks | Cloud Security Threat Detection System,portfolio.example.com,Cybersecurity Consultant
Candidate_443,"Linux, Ansible, Terraform, GCP, Kubernetes, AWS, Azure, CI/CD, Docker, Bash Scripting",13.0,DevOps & Cloud Computing,Master's in Cybersecurity,Microsoft Azure Fundamentals,CI/CD Pipeline Implementation with Jenkins and Kubernetes | Network Penetration Testing with Kali Linux,portfolio.example.com,Cybersecurity Consultant
Candidate_245,"Terraform, Linux, CI/CD, GCP, Ansible, AWS, Azure, Kubernetes, Docker, Bash Scripting",2.0,DevOps & Cloud Computing,Bachelor's in Computer Science,CEH (Certified Ethical Hacker),Cyber-Physical System for Smart City Traffic Control | AI-Driven Cybersecurity Threat Analysis,portfolio.example.com,IoT Systems Engineer
Candidate_893,"AWS, Terraform, Bash Scripting, Azure, Kubernetes, CI/CD, Ansible, Linux, GCP, Docker",12.0,DevOps & Cloud Computing,Master's in AI & ML,Certified Kubernetes Administrator,Network Penetration Testing with Kali Linux | Fog Computing for Real-Time Video Processing,github.com/example,IT Infrastructure Manager
Candidate_635,"Ansible, CI/CD, Bash Scripting, Kubernetes, Terraform, Docker, Azure, GCP, AWS, Linux",14.0,DevOps & Cloud Computing,Master's in Cybersecurity,CompTIA Security+,AI-Powered IoT Security for Industrial Networks | Automated Infrastructure Deployment using Terraform,linkedin.com/in/example,Data Scientist
Candidate_342,"Terraform, Linux, GCP, CI/CD, AWS, Bash Scripting, Ansible, Docker, Kubernetes, Azure",7.0,DevOps & Cloud Computing,Master's in Data Science,CISSP (Certified Information Systems Security Professional),CI/CD Pipeline Implementation with Jenkins and Kubernetes | Smart Traffic Management System using IoT,email@example.com,Quantum Security Engineer
Candidate_369,"Bash Scripting, Kubernetes, Azure, Terraform, Docker, Ansible, GCP, AWS, CI/CD, Linux",10.0,DevOps & Cloud Computing,Master's in AI & ML,CompTIA Security+,Network Penetration Testing with Kali Linux | Cyber-Physical System for Smart City Traffic Control,portfolio.example.com,IT Infrastructure Manager
Candidate_573,"Azure, CI/CD, Bash Scripting, Linux, Terraform, AWS, Kubernetes, Ansible, GCP, Docker",12.0,DevOps & Cloud Computing,Bachelor's in Information Technology,Edge Computing Specialist Certification,Smart Traffic Management System using IoT | Automated Infrastructure Deployment using Terraform,github.com/example,Network Architect
Candidate_801,"Terraform, AWS, Docker, Azure, Linux, Bash Scripting, Ansible, Kubernetes, CI/CD, GCP",8.0,DevOps & Cloud Computing,Bachelor's in Information Technology,Google Cloud Professional DevOps Engineer,CI/CD Pipeline Implementation with Jenkins and Kubernetes | Cloud Security Threat Detection System,portfolio.example.com,Data Scientist
Candidate_400,"Bash Scripting, Kubernetes, AWS, CI/CD, Azure, Ansible, Linux, Terraform, Docker, GCP",1.0,DevOps & Cloud Computing,Master's in Cybersecurity,Edge Computing Specialist Certification,Smart Traffic Management System using IoT | Fog Computing for Real-Time Video Processing,portfolio.example.com,AI Research Engineer
Candidate_720,"Docker, AWS, Linux, Ansible, Bash Scripting, Azure, Terraform, Kubernetes, CI/CD, GCP",14.0,DevOps & Cloud Computing,Master's in Data Science,Google Cloud Professional DevOps Engineer,AI-Driven Cybersecurity Threat Analysis | Cloud-Based IT Support Chatbot,github.com/example,AI Ethics Consultant
Candidate_535,"GCP, CI/CD, Terraform, Bash Scripting, Kubernetes, Docker, AWS, Azure, Ansible, Linux",10.0,DevOps & Cloud Computing,Master's in AI & ML,Microsoft Azure Fundamentals,Embedded Systems for Smart Home Automation | CI/CD Pipeline Implementation with Jenkins and Kubernetes,linkedin.com/in/example,Data Scientist
Candidate_526,"GCP, Bash Scripting, CI/CD, Kubernetes, AWS, Docker, Ansible, Linux, Terraform, Azure",1.0,DevOps & Cloud Computing,Bachelor's in Computer Science,Edge Computing Specialist Certification,Fog Computing for Real-Time Video Processing | AI-Driven Cybersecurity Threat Analysis,portfolio.example.com,DevOps Engineer
Candidate_416,"AWS, Docker, Bash Scripting, CI/CD, GCP, Kubernetes, Terraform, Ansible, Linux, Azure",2.0,DevOps & Cloud Computing,Master's in AI & ML,AWS Certified Solutions Architect,Cloud Security Threat Detection System | Smart Traffic Management System using IoT,linkedin.com/in/example,Cybersecurity Consultant
Candidate_652,"AWS, Azure, Bash Scripting, GCP, Terraform, Docker, Ansible, Kubernetes, CI/CD, Linux",12.0,DevOps & Cloud Computing,Master's in AI & ML,Edge Computing Specialist Certification,Fog Computing for Real-Time Video Processing | Cloud Security Threat Detection System,portfolio.example.com,Computer Vision Engineer
Candidate_134,"AWS, Linux, GCP, Docker, Terraform, CI/CD, Azure, Kubernetes, Bash Scripting, Ansible",12.0,DevOps & Cloud Computing,Master's in AI & ML,RHCSA (Red Hat Certified System Administrator),Fog Computing for Real-Time Video Processing | Cloud-Based IT Support Chatbot,linkedin.com/in/example,Network Architect
Candidate_643,"Linux, GCP, Terraform, Docker, Bash Scripting, Azure, Kubernetes, AWS, CI/CD, Ansible",6.0,DevOps & Cloud Computing,Master's in Cybersecurity,Certified Kubernetes Administrator,Cyber-Physical System for Smart City Traffic Control | Cloud-Based IT Support Chatbot,linkedin.com/in/example,AI Research Engineer
Candidate_511,"Terraform, Ansible, GCP, Docker, Azure, Kubernetes, Linux, AWS, Bash Scripting, CI/CD",14.0,DevOps & Cloud Computing,Master's in Cybersecurity,Microsoft Azure Fundamentals,Automated Infrastructure Deployment using Terraform | Cloud-Based IT Support Chatbot,portfolio.example.com,Network Architect
Candidate_616,"Penetration Testing, Metasploit, SOC, Firewalls, Wireshark, Burp Suite, Threat Intelligence, Ethical Hacking",5.0,Cybersecurity & Ethical Hacking,Master's in AI & ML,Certified Kubernetes Administrator,Cloud Security Threat Detection System | Smart Traffic Management System using IoT,email@example.com,Computer Vision Engineer
Candidate_791,"Penetration Testing, SOC, Threat Intelligence, Burp Suite, Ethical Hacking, Wireshark, Metasploit, Firewalls",10.0,Cybersecurity & Ethical Hacking,Bachelor's in Computer Science,CompTIA Security+,AI-Powered IoT Security for Industrial Networks | Network Penetration Testing with Kali Linux,linkedin.com/in/example,IT Infrastructure Manager
Candidate_393,"Firewalls, Ethical Hacking, SOC, Threat Intelligence, Penetration Testing, Wireshark, Burp Suite, Metasploit",7.0,Cybersecurity & Ethical Hacking,Master's in Data Science,CEH (Certified Ethical Hacker),Embedded Systems for Smart Home Automation | Smart Traffic Management System using IoT,github.com/example,Computer Vision Engineer
Candidate_330,"Threat Intelligence, SOC, Firewalls, Metasploit, Penetration Testing, Burp Suite, Ethical Hacking, Wireshark",14.0,Cybersecurity & Ethical Hacking,Master's in Cybersecurity,Edge Computing Specialist Certification,Embedded Systems for Smart Home Automation | AI-Driven Cybersecurity Threat Analysis,portfolio.example.com,Data Scientist
Candidate_929,"Burp Suite, Metasploit, Threat Intelligence, SOC, Penetration Testing, Ethical Hacking, Firewalls, Wireshark",7.0,Cybersecurity & Ethical Hacking,Master's in AI & ML,Microsoft Azure Fundamentals,Network Penetration Testing with Kali Linux | Cloud Security Threat Detection System,linkedin.com/in/example,Edge Computing Specialist
Candidate_918,"Wireshark, Burp Suite, Penetration Testing, SOC, Threat Intelligence, Metasploit, Ethical Hacking, Firewalls",1.0,Cybersecurity & Ethical Hacking,Master's in AI & ML,RHCSA (Red Hat Certified System Administrator),Automated Infrastructure Deployment using Terraform | AI-Driven Cybersecurity Threat Analysis,github.com/example,IT Infrastructure Manager
Candidate_727,"Firewalls, SOC, Ethical Hacking, Metasploit, Wireshark, Burp Suite, Penetration Testing, Threat Intelligence",9.0,Cybersecurity & Ethical Hacking,Bachelor's in Computer Science,Google Cloud Professional DevOps Engineer,AI-Driven Cybersecurity Threat Analysis | Network Penetration Testing with Kali Linux,portfolio.example.com,DevOps Engineer
Candidate_633,"Threat Intelligence, Metasploit, Wireshark, Firewalls, Penetration Testing, Burp Suite, Ethical Hacking, SOC",9.0,Cybersecurity & Ethical Hacking,Master's in Data Science,Google Cloud Professional DevOps Engineer,Embedded Systems for Smart Home Automation | Smart Traffic Management System using IoT,linkedin.com/in/example,AI Research Engineer
Candidate_143,"Firewalls, Burp Suite, Metasploit, SOC, Wireshark, Threat Intelligence, Ethical Hacking, Penetration Testing",1.0,Cybersecurity & Ethical Hacking,Master's in Data Science,CEH (Certified Ethical Hacker),AI-Driven Cybersecurity Threat Analysis | Cloud Security Threat Detection System,linkedin.com/in/example,IT Infrastructure Manager
Candidate_858,"Firewalls, Ethical Hacking, Metasploit, Burp Suite, SOC, Threat Intelligence, Wireshark, Penetration Testing",12.0,Cybersecurity & Ethical Hacking,Master's in Data Science,Certified Kubernetes Administrator,AI-Powered IoT Security for Industrial Networks | Fog Computing for Real-Time Video Processing,portfolio.example.com,Quantum Security Engineer
Candidate_112,"Ethical Hacking, Metasploit, Wireshark, Threat Intelligence, Burp Suite, SOC, Firewalls, Penetration Testing",10.0,Cybersecurity & Ethical Hacking,Bachelor's in Computer Science,Microsoft Azure Fundamentals,Fog Computing for Real-Time Video Processing | AI-Powered IoT Security for Industrial Networks,portfolio.example.com,AI Research Engineer
Candidate_159,"Wireshark, Ethical Hacking, Burp Suite, Firewalls, Metasploit, Penetration Testing, SOC, Threat Intelligence",2.0,Cybersecurity & Ethical Hacking,Bachelor's in Computer Science,Certified Kubernetes Administrator,Cloud-Based IT Support Chatbot | Automated Infrastructure Deployment using Terraform,portfolio.example.com,Computer Vision Engineer
Candidate_435,"Threat Intelligence, Metasploit, SOC, Ethical Hacking, Penetration Testing, Firewalls, Burp Suite, Wireshark",10.0,Cybersecurity & Ethical Hacking,Bachelor's in Electronics & Communication,AWS Certified Solutions Architect,Fog Computing for Real-Time Video Processing | Cloud-Based IT Support Chatbot,linkedin.com/in/example,Network Architect
Candidate_336,"Firewalls, Wireshark, Burp Suite, SOC, Metasploit, Ethical Hacking, Threat Intelligence, Penetration Testing",14.0,Cybersecurity & Ethical Hacking,Bachelor's in Information Technology,AWS Certified Solutions Architect,Smart Traffic Management System using IoT | Embedded Systems for Smart Home Automation,portfolio.example.com,AI Ethics Consultant
Candidate_293,"Threat Intelligence, Penetration Testing, Metasploit, Ethical Hacking, Firewalls, Wireshark, Burp Suite, SOC",15.0,Cybersecurity & Ethical Hacking,Bachelor's in Computer Science,Certified Kubernetes Administrator,CI/CD Pipeline Implementation with Jenkins and Kubernetes | Cloud-Based IT Support Chatbot,github.com/example,IT Infrastructure Manager
Candidate_747,"Penetration Testing, Firewalls, Metasploit, Burp Suite, SOC, Ethical Hacking, Wireshark, Threat Intelligence",6.0,Cybersecurity & Ethical Hacking,Master's in Data Science,Microsoft Azure Fundamentals,Embedded Systems for Smart Home Automation | Network Penetration Testing with Kali Linux,linkedin.com/in/example,Cybersecurity Consultant
Candidate_536,"Metasploit, Wireshark, SOC, Firewalls, Burp Suite, Threat Intelligence, Penetration Testing, Ethical Hacking",2.0,Cybersecurity & Ethical Hacking,Master's in Data Science,RHCSA (Red Hat Certified System Administrator),AI-Powered IoT Security for Industrial Networks | Automated Infrastructure Deployment using Terraform,portfolio.example.com,AI Research Engineer
Candidate_950,"Wireshark, Penetration Testing, Burp Suite, Metasploit, Ethical Hacking, SOC, Firewalls, Threat Intelligence",13.0,Cybersecurity & Ethical Hacking,Bachelor's in Electronics & Communication,CEH (Certified Ethical Hacker),Fog Computing for Real-Time Video Processing | Embedded Systems for Smart Home Automation,github.com/example,Data Scientist
Candidate_272,"Burp Suite, Firewalls, Penetration Testing, SOC, Ethical Hacking, Wireshark, Threat Intelligence, Metasploit",10.0,Cybersecurity & Ethical Hacking,Bachelor's in Electronics & Communication,Microsoft Azure Fundamentals,Automated Infrastructure Deployment using Terraform | Cloud-Based IT Support Chatbot,portfolio.example.com,Data Scientist
Candidate_274,"Wireshark, Metasploit, Penetration Testing, Firewalls, Burp Suite, SOC, Ethical Hacking, Threat Intelligence",3.0,Cybersecurity & Ethical Hacking,Master's in AI & ML,Google Cloud Professional DevOps Engineer,Fog Computing for Real-Time Video Processing | AI-Powered IoT Security for Industrial Networks,portfolio.example.com,AI Research Engineer
Candidate_816,"Ethical Hacking, Wireshark, SOC, Firewalls, Metasploit, Burp Suite, Penetration Testing, Threat Intelligence",6.0,Cybersecurity & Ethical Hacking,Bachelor's in Computer Science,Certified Kubernetes Administrator,CI/CD Pipeline Implementation with Jenkins and Kubernetes | Fog Computing for Real-Time Video Processing,github.com/example,AI Research Engineer
Candidate_747,"SOC, Ethical Hacking, Metasploit, Wireshark, Threat Intelligence, Penetration Testing, Burp Suite, Firewalls",2.0,Cybersecurity & Ethical Hacking,Master's in AI & ML,CEH (Certified Ethical Hacker),Cloud Security Threat Detection System | Embedded Systems for Smart Home Automation,github.com/example,AI Research Engineer
Candidate_770,"Burp Suite, Metasploit, Threat Intelligence, Ethical Hacking, Firewalls, Wireshark, Penetration Testing, SOC",11.0,Cybersecurity & Ethical Hacking,Master's in Data Science,AWS Certified Solutions Architect,Network Penetration Testing with Kali Linux | AI-Driven Cybersecurity Threat Analysis,linkedin.com/in/example,IT Infrastructure Manager
Candidate_886,"SOC, Metasploit, Ethical Hacking, Wireshark, Firewalls, Burp Suite, Threat Intelligence, Penetration Testing",15.0,Cybersecurity & Ethical Hacking,Bachelor's in Computer Science,IoT Security Certification,Embedded Systems for Smart Home Automation | Cloud-Based IT Support Chatbot,github.com/example,Network Architect
Candidate_582,"Wireshark, Firewalls, Penetration Testing, SOC, Burp Suite, Threat Intelligence, Ethical Hacking, Metasploit",8.0,Cybersecurity & Ethical Hacking,Master's in AI & ML,IoT Security Certification,Cloud Security Threat Detection System | AI-Powered IoT Security for Industrial Networks,portfolio.example.com,DevOps Engineer
Candidate_164,"Penetration Testing, Wireshark, Firewalls, Burp Suite, Threat Intelligence, Ethical Hacking, SOC, Metasploit",15.0,Cybersecurity & Ethical Hacking,Master's in Cybersecurity,Microsoft Azure Fundamentals,CI/CD Pipeline Implementation with Jenkins and Kubernetes | Cyber-Physical System for Smart City Traffic Control,linkedin.com/in/example,DevOps Engineer
Candidate_817,"SOC, Wireshark, Burp Suite, Threat Intelligence, Ethical Hacking, Penetration Testing, Metasploit, Firewalls",6.0,Cybersecurity & Ethical Hacking,Bachelor's in Computer Science,CEH (Certified Ethical Hacker),Smart Traffic Management System using IoT | AI-Driven Cybersecurity Threat Analysis,email@example.com,Computer Vision Engineer
Candidate_704,"Wireshark, Burp Suite, Metasploit, Threat Intelligence, Penetration Testing, SOC, Firewalls, Ethical Hacking",5.0,Cybersecurity & Ethical Hacking,Bachelor's in Computer Science,RHCSA (Red Hat Certified System Administrator),Automated Infrastructure Deployment using Terraform | Cyber-Physical System for Smart City Traffic Control,email@example.com,AI Ethics Consultant
Candidate_823,"Threat Intelligence, Wireshark, Burp Suite, Ethical Hacking, SOC, Firewalls, Metasploit, Penetration Testing",14.0,Cybersecurity & Ethical Hacking,Bachelor's in Information Technology,Edge Computing Specialist Certification,Fog Computing for Real-Time Video Processing | AI-Driven Cybersecurity Threat Analysis,linkedin.com/in/example,Cybersecurity Consultant
Candidate_486,"Threat Intelligence, Penetration Testing, Firewalls, SOC, Metasploit, Burp Suite, Ethical Hacking, Wireshark",13.0,Cybersecurity & Ethical Hacking,Master's in Cybersecurity,RHCSA (Red Hat Certified System Administrator),Smart Traffic Management System using IoT | Cloud-Based IT Support Chatbot,email@example.com,DevOps Engineer
Candidate_196,"Firewalls, Ethical Hacking, Wireshark, Metasploit, Threat Intelligence, SOC, Penetration Testing, Burp Suite",9.0,Cybersecurity & Ethical Hacking,Bachelor's in Information Technology,RHCSA (Red Hat Certified System Administrator),CI/CD Pipeline Implementation with Jenkins and Kubernetes | AI-Powered IoT Security for Industrial Networks,portfolio.example.com,Network Architect
Candidate_606,"Penetration Testing, Metasploit, Ethical Hacking, Wireshark, Threat Intelligence, Burp Suite, SOC, Firewalls",13.0,Cybersecurity & Ethical Hacking,Bachelor's in Information Technology,AWS Certified Solutions Architect,Smart Traffic Management System using IoT | Fog Computing for Real-Time Video Processing,portfolio.example.com,IoT Systems Engineer
Candidate_580,"Threat Intelligence, Firewalls, Wireshark, Metasploit, Penetration Testing, Ethical Hacking, Burp Suite, SOC",5.0,Cybersecurity & Ethical Hacking,Bachelor's in Electronics & Communication,CEH (Certified Ethical Hacker),Smart Traffic Management System using IoT | Cloud Security Threat Detection System,linkedin.com/in/example,Cloud Security Specialist
Candidate_212,"Metasploit, Threat Intelligence, Wireshark, Firewalls, Ethical Hacking, Burp Suite, Penetration Testing, SOC",13.0,Cybersecurity & Ethical Hacking,Master's in Data Science,Google Cloud Professional DevOps Engineer,Cloud-Based IT Support Chatbot | Embedded Systems for Smart Home Automation,linkedin.com/in/example,Network Architect
Candidate_625,"Ethical Hacking, Burp Suite, Firewalls, Metasploit, Penetration Testing, SOC, Threat Intelligence, Wireshark",9.0,Cybersecurity & Ethical Hacking,Master's in AI & ML,IoT Security Certification,CI/CD Pipeline Implementation with Jenkins and Kubernetes | Cloud Security Threat Detection System,portfolio.example.com,AI Research Engineer
Candidate_135,"SOC, Ethical Hacking, Penetration Testing, Firewalls, Threat Intelligence, Wireshark, Burp Suite, Metasploit",3.0,Cybersecurity & Ethical Hacking,Bachelor's in Electronics & Communication,Cisco CCNA,Cloud Security Threat Detection System | AI-Powered IoT Security for Industrial Networks,github.com/example,DevOps Engineer
